City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Alappuzha,IN,81.52,broken clouds,9.49,76.3264,Panoramic Sea Resort
390,Juba,SS,85.69,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
399,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
404,Campos Belos,BR,89.64,clear sky,-13.0367,-46.7717,Pousada Carnaúba
408,Axim,GH,83.95,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
422,Nizwa,OM,83.91,clear sky,22.9333,57.5333,Orient Apartments
423,Celestun,MX,85.14,clear sky,20.8667,-90.4,Posada Lilia
434,Santa Cruz Del Norte,CU,84.85,few clouds,23.1539,-81.9236,Rioger Art
437,Vilhena,BR,86.22,scattered clouds,-12.7406,-60.1458,Hotel Mirage
449,Bell Ville,AR,80.8,clear sky,-32.6259,-62.6887,Hotel Central
450,Sabha,LY,90.39,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
451,Bassar,TG,88.45,overcast clouds,9.25,0.7833,Hôtel KYRIAD
456,Pangai,TO,81.03,clear sky,-19.8,-174.35,Ha'apai Beach Resort
467,Kavaratti,IN,82.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
468,Garango,BF,99.52,overcast clouds,11.8,-0.5506,La Case LAVAL-GARANGO
474,Moussoro,TD,96.69,overcast clouds,13.6408,16.4901,Hôtel Salama
475,Prado,BR,84.15,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
481,Sao Tome,ST,82.36,light rain,0.3365,6.7273,Pestana Miramar São Tomé
483,Dhidhdhoo,MV,83.59,few clouds,6.8833,73.1,Dhidhoo beach
485,Ilesha,NG,86.86,overcast clouds,7.1371,5.2583,Tosap Guest House
486,Sarangani,PH,81.19,overcast clouds,5.4033,125.4636,Ballistic Islet
488,Piacabucu,BR,84.38,broken clouds,-10.4056,-36.4344,Piaçabuçu News
489,Kotido,UG,81.32,overcast clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
493,Manzanillo,CU,88.83,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
494,Bogande,BF,104.05,broken clouds,12.9714,-0.1436,Auberge Wendkouni
500,Sadri,IN,84.76,clear sky,25.1833,73.4333,Chandra Hill Resort
501,Bathsheba,BB,80.87,broken clouds,13.2167,-59.5167,Atlantis Hotel
514,Lokoja,NG,101.89,scattered clouds,7.8024,6.743,Hotel Charvid
515,Muisne,EC,80.13,overcast clouds,0.6,-80.0333,Quinta Samay
522,The Valley,AI,83.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
528,Mahibadhoo,MV,83.16,clear sky,3.7833,72.9667,Omadhoo Inn
535,Awjilah,LY,85.5,clear sky,29.1081,21.2869,المنزل
537,Vung Tau,VN,81.12,overcast clouds,10.346,107.0843,Seaside Resort
539,Coahuayana,MX,85.1,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
541,Arrah,IN,80.49,clear sky,25.5667,84.6667,Hotel The Regal- Arrah
545,Santa Marta,CO,84.45,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
549,Morant Bay,JM,87.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
555,San Matias,BO,89.44,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
565,Jizan,SA,84.85,clear sky,17.3333,42.6667,شهدان. ابوالحجر
571,Tangwani,PK,85.21,clear sky,28.2787,68.9972,Malik Hafeez Markeet
572,Karratha,AU,82.15,clear sky,-20.7377,116.8463,ibis Styles Karratha
578,Carutapera,BR,84.63,moderate rain,-1.195,-46.02,Lidera
579,Sawakin,SD,80.91,overcast clouds,19.1059,37.3321,فندق الدويم
586,Lafia,NG,99.03,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
594,Maine-Soroa,NE,97.36,broken clouds,13.2114,12.0241,Complexe
603,Paragominas,BR,83.77,broken clouds,-2.9667,-47.4833,INOVA
612,Humberto De Campos,BR,87.42,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
626,Madarounfa,NE,101.52,scattered clouds,13.3087,7.156,Madarounfa centre ville
627,Takoradi,GH,85.78,overcast clouds,4.8845,-1.7554,Raybow International Hotel
628,Ajdabiya,LY,82.62,clear sky,30.7554,20.2263,Almadina Hotel
634,Paracuru,BR,83.1,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
635,Cordoba,AR,82.42,clear sky,-31.4135,-64.1811,Hotel Sussex
640,Roebourne,AU,82.22,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
643,San Andres,CO,80.35,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
648,Arinos,BR,93.06,clear sky,-15.9169,-46.1056,casa do bruno
653,Katakwi,UG,82.44,broken clouds,1.8911,33.9661,Ebenezer Guest House
654,Acari,PE,81.16,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
655,Carira,BR,89.13,broken clouds,-10.3608,-37.7011,Praca dos motorista
657,Katherine,AU,80.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
658,Ocos,GT,91.58,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
666,Pauini,BR,88.3,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
