City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nelson Bay,AU,-32.7167,152.15,64.0,90,100,7.0,overcast clouds
79,Belmonte,BR,-15.8631,-38.8828,84.15,62,9,7.87,clear sky
80,Upernavik,GL,72.7868,-56.1549,19.89,78,73,4.05,broken clouds
81,Bredasdorp,ZA,-34.5322,20.0403,63.21,83,54,6.51,broken clouds
82,Qaanaaq,GL,77.484,-69.3632,14.72,76,97,6.22,overcast clouds
83,Flinders,AU,-34.5833,150.8552,63.25,77,48,1.99,scattered clouds
84,Kapoeta,SS,4.7717,33.5903,90.1,28,92,11.74,overcast clouds
85,Harer,ET,9.3094,42.1258,73.22,36,95,5.44,overcast clouds
86,Butaritari,KI,3.0707,172.7902,81.1,72,50,13.85,scattered clouds
87,Yeppoon,AU,-23.1333,150.7333,71.38,74,8,11.25,clear sky
88,Srednekolymsk,RU,67.45,153.6833,-19.91,100,76,1.95,broken clouds
89,Avarua,CK,-21.2078,-159.775,73.45,100,100,1.14,overcast clouds
90,Nanortalik,GL,60.1432,-45.2371,37.2,82,99,4.54,overcast clouds
91,East London,ZA,-33.0153,27.9116,72.88,85,57,19.15,broken clouds
92,Berlin,DE,52.5244,13.4105,47.01,57,20,14.0,few clouds
93,Ewa Beach,US,21.3156,-158.0072,74.59,68,40,11.5,scattered clouds
94,Luderitz,NA,-26.6481,15.1594,62.44,86,0,10.02,clear sky
95,Jamestown,US,42.097,-79.2353,35.24,72,100,9.22,overcast clouds
96,Busselton,AU,-33.65,115.3333,63.05,82,59,14.97,broken clouds
97,Tubuala,PA,9.5167,-79.0333,81.57,78,82,8.28,broken clouds
98,Port Augusta,AU,-32.5,137.7667,61.02,62,0,4.32,clear sky
99,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,85.8,73,55,6.93,broken clouds
100,Airai,TL,-8.9266,125.4092,57.56,81,72,1.54,broken clouds
101,Porto Velho,BR,-8.7619,-63.9039,82.45,69,75,2.3,broken clouds
102,Solwezi,ZM,-12.1688,26.3894,64.47,94,50,4.21,scattered clouds
103,Port-Gentil,GA,-0.7193,8.7815,81.77,78,52,11.72,broken clouds
104,Tasiilaq,GL,65.6145,-37.6368,32.16,85,100,2.62,overcast clouds
105,Collie,AU,-33.3667,116.15,60.12,92,100,8.7,overcast clouds
106,Gizo,SB,-8.103,156.8419,81.77,77,67,8.39,broken clouds
107,Tuatapere,NZ,-46.1333,167.6833,47.39,92,63,2.55,broken clouds
108,Port Alfred,ZA,-33.5906,26.891,72.18,88,54,5.01,broken clouds
109,San Juan,AR,-31.5375,-68.5364,72.55,29,19,27.27,few clouds
110,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,93,75,19.57,broken clouds
111,Kaitangata,NZ,-46.2817,169.8464,46.2,95,73,4.9,broken clouds
112,Quatre Cocos,MU,-20.2078,57.7625,79.09,79,74,13.8,broken clouds
113,Neiafu,TO,-18.65,-173.9833,81.57,74,7,10.45,light rain
114,Inhambane,MZ,-23.865,35.3833,78.03,70,4,11.43,clear sky
